"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"ENEM_2021_Q097";"multipla";"Biologia";"Literatura Brasileira";"Modernismo";"Médio";"ENEM";"2021";"15";"A simples atitude de não jogar direto no lixo ou no ralo da pia o óleo de cozinha usado pode contribuir para a redução da poluição ambiental. Mas o que fazer com o óleo vegetal que não será mais usado? Não existe um modelo ideal de descarte, mas uma alternativa simples tem sido reaproveitá-lo para fazer sabão. Para isso, são necessários, além do próprio óleo, água e soda cáustica. LOBO, I. **Sabão feito com óleo de cozinha**. Disponível em: http://pga.pgr.mpf.gov.br. Acesso em: 29 fev. 2012 (adaptado).";"Redução.";"Epoxidação.";"Substituição.";"Esterificação.";"Saponificação.";"e";"A resposta correta é a alternativa E. Saponificação."
"ENEM_2021_Q098";"multipla";"Biologia";"Literatura Portuguesa";"Comprensión lectora";"Médio";"ENEM";"2021";"15";"Durante o desenvolvimento embrionário humano ocorre uma comunicação entre os átrios direito e esquerdo através do forame oval (ou forame de Botal). Essa comunicação não causa prejuízos à circulação do bebê em formação, exceto se ela perdurar após o nascimento.";"Aves, porque a pequena circulação e a grande circulação estão presentes.";"Répteis, porque a mistura de sangue é minimizada por um metabolismo lento.";"Crocodilianos, porque a separação dos ventrículos impede a mistura sanguínea.";"Peixes, porque a circulação é simples, ocorrendo uma passagem única pelo coração.";"Anfíbios, porque pressões diferenciais isolam temporalmente o sangue venoso do arterial.";"d";"A resposta correta é a alternativa D. Peixes, porque a circulação é simples, ocorrendo uma passagem única pelo coração."
"ENEM_2021_Q099";"multipla";"Biologia";"Interpretação e Produção de Texto";"Mídias digitais";"Médio";"ENEM";"2021";"15";"Na cidade de São Paulo, as ilhas de calor são responsáveis pela alteração da direção do fluxo da brisa marítima que deveria atingir a região de mananciais. Mas, ao cruzar a ilha de calor, a brisa marítima agora encontra um fluxo de ar vertical, que transfere para ela energia térmica absorvidas das superfícies quentes da cidade, deslocando-a para altas altitudes. Dessa maneira, há condensação e chuvas fortes no centro da cidade, em vez de na região de mananciais. A imagem apresenta os três subsistemas que trocam energia nesse fenômeno. No processo de fortes chuvas no centro da cidade de São Paulo, há dois mecanismos dominantes de transferência de calor: entre o Sol e ilha de calor, e entre a ilha de calor e a brisa marítima. VIVEIROS, M. **Ilhas de calor afastam chuvas de represas.** Disponível em: www2.feis.unesp.br. Acesso em: 3 de dez. 2019 (adaptado). ![](https://enem.dev/2021/questions/99/0fa56a37-800a-48a2-9fea-f9447e6455eb.png)";"Irradiação e convecção.";"Irradiação e irradiação.";"Condução e irradiação.";"Convecção e irradiação.";"Convecção e convecção.";"a";"A resposta correta é a alternativa A. Irradiação e convecção."
"ENEM_2021_Q100";"multipla";"Sociologia";"Artes e Cultura";"Coesão e coerência";"Médio";"ENEM";"2021";"15";"No seu estudo sobre a queda dos corpos, Aristóteles afirmava que se abandonarmos corpos leves e pesados de uma mesma altura, o mais pesado chegaria mais rápido ao solo. Essa ideia está apoiada em algo que é difícil de refutar, a observação direta da realidade baseada no senso comum. Após, uma aula de física, dois colegas estavam discutindo sobre a queda dos corpos, e um tentava convencer o outro de que tinha razão: Colega A: “O corpo mais pesado cai mais rápido que um menos pesado, quando largado de uma mesma altura. Eu provo, largando uma pedra e uma rolha. A pedra chega antes. Pronto! Tá provado!”. Colega B: “Eu não acho! Peguei uma folha de papel esticado e deixei cair. Quando amassei, ela caiu mais rápido. Como isso é possível? Se era a mesma folha de papel, deveria cair do mesmo jeito. Tem que ter outra explicação!”. HÜLSENDEGER, M. Uma análise das concepções dos alunos sobre a queda dos corpos. Caderno Brasileiro de Ensino de Física, n. 3, dez. 2004 (adaptado).";"Peso dos corpos.";"Resistência do ar.";"Massa dos corpos.";"Densidade dos corpos.";"Aceleração da gravidade.";"b";"A resposta correta é a alternativa B. Resistência do ar."
"ENEM_2021_Q101";"multipla";"Biologia";"Literatura Brasileira";"Romantismo";"Médio";"ENEM";"2021";"15";"A obtenção de etanol utilizando a cana-de-açúcar envolve a fermentação dos monossacarídeos formadores da sacarose contida no melaço. Um desses formadores é a glicose (C6H12O6), cuja fermentação produz cerca de 50 g de etanol a partir de 100 g de glicose, conforme a equação química descrita. ![](https://enem.dev/2021/questions/101/0fe7f1b0-85ec-430e-b869-2956e9707dba.png) Em uma condição específica de fermentação, obtém-se 80% de conversão em etanol que, após sua purificação, apresenta densidade igual a 0,80 g/mL. O melaço utilizado apresentou 50 kg de monossacarídeos na forma de glicose.";"16.";"20.";"25.";"64.";"100.";"c";"A resposta correta é a alternativa C. 25."
"ENEM_2021_Q102";"multipla";"Biologia";"Gramática e Linguística";"Análise sintática";"Médio";"ENEM";"2021";"15";"É possível ligar aparelhos elétricos de baixa corrente utilizando materiais comuns de laboratório no lugar das tradicionais pilhas. A ilustração apresenta uma montagem que faz funcionar um cronômetro digital. ![](https://enem.dev/2021/questions/102/17f47198-3b4c-42ca-bedf-c8b41c41b0d6.jpg)";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"b";"Gabarito oficial: alternativa B. Consulte a resolução completa no gabarito oficial do INEP."
"ENEM_2021_Q103";"multipla";"Biologia";"Interpretação e Produção de Texto";"Mídias digitais";"Médio";"ENEM";"2021";"15";"Um técnico analisou um lote de analgésicos que supostamente estava fora das especificações. A composição prevista era 100mg de ácido acetilsalicílico por comprimido (princípio ativo, cuja estrutura está apresentada na figura), além do amido e da celulosa (componentes inertes). O técnico realizou os seguintes testes: 1) obtenção da massa do comprimido; 2) medição da densidade do comprimido; 3) verificação do pH com papel indicador; 4) determinação da temperatura de fusão do comprimido; 5) titulação com solução aquosa de NaOH. Após a realização dos testes, o lote do medicamento foi reprovado porque a quantidade de ácido acetilsalicílico por comprimido foi de apenas 40% da esperada. ![](https://enem.dev/2021/questions/103/6edd1246-645b-4642-8af9-1a528c701dfc.png)";"1";"2";"3";"4";"5";"e";"A resposta correta é a alternativa E. 5"
"ENEM_2021_Q104";"multipla";"Biologia";"Literatura Portuguesa";"Análise sintática";"Médio";"ENEM";"2021";"15";"O rompimento da barragem de rejeitos de mineração no município mineiro de Mariana e o derramamento de produtos tóxicos nas águas do Rio Doce, ocorridos em 2015, ainda têm consequências para os organismos que habitam o Parque Nacional Marinho de Abrolhos, localizado a mais de 1 000 quilômetros de distância. Esse desastre ambiental afetou o fitoplâncton, as esponjas, as algas macroscópicas, os peixes herbívoros e os golfinhos. FRAINER, G.; SICILIANO, S.; TAVARES, D. C. Fransciscana calls for help: \[…\]. **International Whaling Commission, Conference Paper**, jun. 2016 (adaptado)";"Esponjas.";"Golfinhos.";"Fitoplâncton.";"Peixes herbívoros.";"Algas macroscópicas.";"b";"A resposta correta é a alternativa B. Golfinhos."
"ENEM_2021_Q105";"multipla";"Biologia";"Gramática e Linguística";"Reading comprehension";"Médio";"ENEM";"2021";"15";"Duas esferas carregadas com cargas iguais em módulo e sinais contrários estão ligadas por uma haste rígida isolante na forma de haltere. O sistema se movimenta sob ação da gravidade numa região que tem um campo magnético horizontal uniforme ![](https://enem.dev/2021/questions/105/81f45a24-eda2-40b3-8e46-768ee75a8807.jpg), da esquerda para a direita. A imagem apresenta o sistema visto de cima para baixo, no mesmo sentido da aceleração da gravidade ![](https://enem.dev/2021/questions/105/57f95cd7-65b6-4b83-8f6d-f86599749ee5.jpg) que atua na região. ![](https://enem.dev/2021/questions/105/6e9bf09f-092e-49cf-b2f9-2885d0f29c26.jpg)";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"";"a";"Gabarito oficial: alternativa A. Consulte a resolução completa no gabarito oficial do INEP."
"ENEM_2021_Q106";"multipla";"História";"Língua Estrangeira (Espanhol)";"Mídias digitais";"Médio";"ENEM";"2021";"15";"A icterícia, popularmente conhecida por amarelão, é uma patologia frequente em recém-nascidos. Um bebê com icterícia não consegue metabolizar e excretar de forma eficiente a bilirrubina. Com isso, o acúmulo dessa substância deixa-o com a pele amarelada. A fototerapia é um tratamento de icterícia neonatal, que consiste na irradiação de luz no bebê. Na presença de luz, a bilirrubina é convertida no seu isômero lumirrubina que, por ser mais solúvel em água, é excretada pela bile ou pela urina. A imagem ilustra o que ocorre nesse tratamento. MOREIRA, M. et. al. O recém-nascido de alto risco: teoria e prática do cuidar \[on-line\]. Rio de Janeiro: Fiocruz, 2004 (adaptado). ![](https://enem.dev/2021/questions/106/71d07d1a-9ecf-401c-bd00-2dae5366c8f8.png)";"Ótico";"Funcional";"De cadeia";"De posição";"Geométrico";"c";"A resposta correta é a alternativa C. De cadeia"
"ENEM_2021_Q107";"multipla";"Biologia";"Comunicação e Tecnologia";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"Analisando a ficha técnica de um automóvel popular, verificam-se algumas características em relação ao seu desempenho. Considerando o mesmo automóvel em duas versões, uma delas funcionando a álcool e outra, a gasolina, tem-se os dados apresentados no quadro, em relação ao desempenho de cada motor.";"Como a versão a gasolina consegue a maior aceleração, esta é a que desenvolve a maior potência.";"Como a versão a gasolina atinge a maior valor de energia cinética, esta é a que desenvolve a maior potência.";"Como a versão a álcool apresenta a maior taxa de variação de energia cinética, esta é a que desenvolve a maior potência.";"Como ambas as versões apresentam a mesma variação de velocidade no cálculo da aceleração, a potência desenvolvida é a mesma.";"Como a versão a gasolina fica com o motor trabalhando por mais tempo para atingir os 100 km/h, esta é a que desenvolve a maior potência.";"c";"A resposta correta é a alternativa C. Como a versão a álcool apresenta a maior taxa de variação de energia cinética, esta é a que desenvolve a maior potência."
"ENEM_2021_Q108";"multipla";"Biologia";"Gramática e Linguística";"Modernismo";"Médio";"ENEM";"2021";"15";"**TEXTO I** No cordel intitulado Senhor dos Anéis, de autoria de Gonçalo Ferreira da Silva, lê-se a sextilha: A distância em relação Ao nosso planeta amado Pouco menos que a do Sol Ele está distanciado E menos denso que a água Quando no normal estado MEDEIROS, A.; AGRA, J. T. M., A astronomia na literatura de cordel, **Física na Escola,** n. 1, abr. 2010 (fragmento) **TEXTO II** Distâncias médias dos planetas ao Sol e suas densidades médias **Características dos planetas.** Disponível em: www.astronoo.com. Acesso em: 8 de nov. 2019 (adaptado)";"Mercúrio";"Júpiter";"Urano";"Saturno";"Netuno";"d";"A resposta correta é a alternativa D. Saturno"
"ENEM_2021_Q109";"multipla";"Biologia";"Literatura Brasileira";"Reading comprehension";"Médio";"ENEM";"2021";"15";"Cientistas da Universidade de New South Wales, na Austrália, demonstraram em 2012 que a Lei de Ohm é válida mesmo para fios finíssimos, cuja área da seção reta compreende alguns poucos átomos. A tabela apresenta as áreas e comprimentos de alguns dos fios construídos (respectivamente com as mesmas unidades de medida). Considere que a resistividade mantém-se constante para todas as geometrias (uma aproximação confirmada pelo estudo). ![](https://enem.dev/2021/questions/109/0ab7fc90-d04f-4f68-b31e-61c943c94208.jpg) WEBER, S. B. et al. Ohm1s Law Survivers to the atomice sacle. **Science**, n. 335, jan. 2012 (adaptado)";"R1 < R2 < R3< R4";"R2 < R1 < R3< R4";"R2 < R3 < R1< R4";"R4 < R1 < R3< R2";"R4 < R3 < R2< R1";"c";"A resposta correta é a alternativa C. R2 < R3 < R1< R4"
"ENEM_2021_Q110";"multipla";"Biologia";"Comunicação e Tecnologia";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"Organismos autótrofos e heterótrofos realizam processos complementares que associam os ciclos do carbono e do oxigênio. O carbono fixado pela energia luminosa ou a partir de compostos inorgânicos é eventualmente degradado pelos organismos, resultando em fontes de carbono como metano ou gás carbônico. Ainda, outros compostos orgânicos são catabolizados pelos seres, com menor rendimento energético, produzindo compostos secundários (subprodutos) que podem funcionar como combustíveis ambientais.";"Fotossíntese.";"Fermentação.";"Quimiossíntese.";"Respiração aeróbica.";"Fosforilação oxidativa.";"b";"A resposta correta é a alternativa B. Fermentação."
"ENEM_2021_Q111";"multipla";"Biologia";"Língua Estrangeira (Inglês)";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"Uma escola iniciou o processo educativo para implantação da coleta seletiva e destino de materiais recicláveis. Para atingir seus objetivos, a instituição planejou: 1) Sensibilizar a comunidade escolar, desenvolvendo atividades em sala e extraclasse de maneira contínua; 2) capacitar o pessoal responsável pela limpeza da escola quanto aos novos procedimentos adotados com a coleta seletiva; e 3) distribuir coletores de materiais recicláveis específicos nas salas, pátio e outros ambientes para acondicionamento dos resíduos.";"Realizar campanhas educativas de sensibilização em bairros vizinhos para fortalecer a coleta seletiva.";"Filmar parceria com a prefeitura ou cooperativa de catadores para recolhimento dos materiais recicláveis e destinação apropriada.";"Organizar visitas ao lixão ou aterro local para identificar aspectos importantes sobre a disposição final do lixo.";"Divulgar na rádio local, no local impresso e nas redes sociais que a escola está realizando a coleta seletiva.";"Colocar recipientes coletores de lixo reciclável fora da escola para entrega voluntária pela população.";"b";"A resposta correta é a alternativa B. Filmar parceria com a prefeitura ou cooperativa de catadores para recolhimento dos materiais recicláveis e destinação apropriada."
"ENEM_2021_Q112";"multipla";"Biologia";"Artes e Cultura";"Romantismo";"Médio";"ENEM";"2021";"15";"Os búfalos são animais considerados rústicos pelos criadores e, por isso, são deixados no campo sem controle reprodutivo. Por causa desse tipo de criação, a consanguinidade é favorecida, proporcionando o aparecimento de enfermidades, como o albinismo, defeitos cardíacos, entre outros. Separar os animais de forma adequada minimizaria a ocorrência desses problemas. DAME,M. C. F. RIET-CORREA, F: SCHILF, A. L; **Pesq. Vet. Bras.**, n. 7. 2013 (adaptado).";"Transgenia.";"Terapia gênica.";"Vacina de DNA.";"Clonagem terapêutica.";"Mapeamento genético.";"e";"A resposta correta é a alternativa E. Mapeamento genético."
"ENEM_2021_Q113";"multipla";"Biologia";"Língua Estrangeira (Inglês)";"Comprensión lectora";"Médio";"ENEM";"2021";"15";"O ciclo do cobre é um experimento didático em que o cobre metálico é utilizado como reagente de partida. Após uma sequência de reações (I, II, III, IV e V), o cobre retorna ao seu estado inicial ao final do ciclo. ![](https://enem.dev/2021/questions/113/38fbcbee-5f16-4758-a90a-94f670c1f5a0.png)";"I.";"II.";"III.";"IV.";"V.";"e";"A resposta correta é a alternativa E. V."
"ENEM_2021_Q114";"multipla";"Biologia";"Artes e Cultura";"Análise sintática";"Médio";"ENEM";"2021";"15";"Um dos exames clínicos mais tradicionais para medir a capacidade reflexa dos indivíduos é o exame do reflexo patelar. Esse exame consiste na estimulação da patela, um pequeno osso localizado na parte anterior da articulação do joelho, com um pequeno martelo. A resposta reflexa ao estímulo é caracterizada pelo levantamento da perna em que o estímulo foi aplicado.";"Ponte.";"Medula.";"Cerebelo.";"Hipotálamo.";"Neuro-hipófise.";"b";"A resposta correta é a alternativa B. Medula."
"ENEM_2021_Q115";"multipla";"Biologia";"Língua Estrangeira (Espanhol)";"Modernismo";"Médio";"ENEM";"2021";"15";"Na montagem de uma cozinha para um restaurante, a escolha do material correto para as panelas é importante, pois a panela que conduz mais calor é capaz de cozinhar os alimentos mais rapidamente e, com isso, há economia de gás. A taxa de condução do calor depende da condutividade k do material da sua área A, da diferença de temperatura ![](https://enem.dev/2021/questions/115/2d6e91e5-edc0-42dc-8b15-14cf474b9dff.png)T e da espessura d do material, sendo dada pela relação ![](https://enem.dev/2021/questions/115/cdd13f89-f9a8-4c42-9a4b-2a687770790a.jpg). Em panelas com dois materiais, a taxa de condução é dada por ![](https://enem.dev/2021/questions/115/196bcb78-55e8-43c8-bd2c-4e6634418379.jpg), em que ![](https://enem.dev/2021/questions/115/e648c99c-9415-48a9-9b60-81d772fe7be5.jpg) e ![](https://enem.dev/2021/questions/115/db100305-3044-4e95-951d-2a7f9486e2fc.jpg) são as espessuras dos dois materiais, e ![](https://enem.dev/2021/questions/115/c00b2af8-4e60-4741-9aea-ec1ced38dc3c.jpg) e ![](https://enem.dev/2021/questions/115/03cf9ca5-959a-491c-bf13-23843a84270c.jpg) são as condutividades de cada material. Os materiais mais comuns no mercado para panelas são o alumínio (k = 20 W/m K), o ferro (k = 8 W/m K) e ao aço (k = 5 W/m K) combinado com o cobre (k = 40 W/m K). Compara-se uma panela de ferro, uma de alumínio e uma composta de ![](https://enem.dev/2021/questions/115/6022cc3f-b163-4fd4-b19d-c53afe7aa71b.jpg) da espessura em cobre e ![](https://enem.dev/2021/questions/115/6f91e72e-1734-445a-8e8d-13678bcefe0e.jpg) da espessura em aço, todas com a mesma espessura total e com a mesma área de fundo.";"Cobre-aço, alumínio e ferro.";"Alumínio, cobre-aço e ferro";"Cobre-aço, ferro e alumínio";"Alumínio, ferro e cobre-aço";"Ferro, alumínio e cobre-aço";"b";"A resposta correta é a alternativa B. Alumínio, cobre-aço e ferro"
"ENEM_2021_Q116";"multipla";"Biologia";"Literatura Portuguesa";"Romantismo";"Médio";"ENEM";"2021";"15";"As águas subterrâneas têm sido contaminadas pelo uso de pesticidas na agricultura. Entre as várias substâncias usualmente encontradas, algumas são apresentadas na figura. A distinção dessas substâncias pode ser feita por meio de uma análise química qualitativa, ou seja, determinando sua presença mediante a adição de um reagente específico. O hidróxido de sódio é capaz de identificar a presença de um desses pesticidas pela reação ácido-base de Brönsted-Lowry. ![](https://enem.dev/2021/questions/116/203d51e2-8b23-40bc-8962-2a8ad628c649.png)";"I";"II";"III";"IV";"V";"c";"A resposta correta é a alternativa C. III"
"ENEM_2021_Q117";"multipla";"Biologia";"Literatura Portuguesa";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"Com o aumento da população de suínos no Brasil, torna-se necessária a adoção de métodos para reduzir o potencial poluidor dos resíduos dessa agroindústria, uma vez que, comparativamente ao esgoto doméstico, os dejetos suínos são 200 vezes mais poluentes. Sendo assim, a utilização desses resíduos como matéria-prima na obtenção de combustíveis é uma alternativa que permite diversificar a matriz energética nacional, ao mesmo tempo em que parte dos recursos hídricos do país são preservados. BECK, A. M. Resíduos suínos como alternativa energética sustentável. XXVII Encontro Nacional de Engenharia de Produção. Anais ENEGEP, Foz do Iguaçu, 2007 (adaptado).";"Etanol";"Biogás";"Butano";"Metanol";"Biodiesel";"b";"A resposta correta é a alternativa B. Biogás"
"ENEM_2021_Q118";"multipla";"Biologia";"Literatura Portuguesa";"Romantismo";"Médio";"ENEM";"2021";"15";"A curcumina, uma das substâncias que confere a cor alaranjada ao açafrão, pode auxiliar no combate à dengue quando adicionada à água de criadouros do mosquito transmissor. Essa substância acumula-se no intestino do inseto após ser ingerida com a água do criadouro e, quando ativada pela luz, induz a produção de espécies reativas de oxigênio que danificam de forma fatal o tecido do tubo digestório. TOLEDO, K. Corante do açafrão pode ser útil no combate à dengue. Disponível em: http://agencia.fapesp.br. Acesso em: 25 abr. 2015. (adaptado).";"Morte do indivíduo adulto.";"Redução da eclosão dos ovos.";"Comprometimento da metamorfose.";"Impedimento do desenvolvimento da larva.";"Repelência da forma transmissora da doença.";"d";"A resposta correta é a alternativa D. Impedimento do desenvolvimento da larva."
