"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"3991";"multipla";"Lingua Portuguesa";"Gramatica";"Morfologia";"Facil";"Vestibular";"2024";"Em 'A bela cantora', a palavra 'bela' e classificada como:";"Adjetivo";"Substantivo";"Advérbio";"Pronome";"Artigo";"a";"'Bela' qualifica o substantivo 'cantora', exercendo a funcao de adjetivo. Adjetivos sao palavras que caracterizam ou qualificam substantivos. Neste caso, 'bela' e adjetivo anteposto ao substantivo.";""
"3992";"multipla";"Lingua Portuguesa";"Gramatica";"Orações subordinadas";"Medio";"Vestibular";"2024";"Em 'Espero que voce chegue logo', a oracao 'que voce chegue logo' e uma oracao subordinada:";"Substantiva objetiva direta";"Adjetiva restritiva";"Adverbial temporal";"Adverbial causal";"Substantiva subjetiva";"a";"A oracao 'que voce chegue logo' e o objeto direto do verbo 'espero' (espero o que? — que voce chegue logo). Por isso, e uma oracao subordinada substantiva objetiva direta. Se fosse sujeito do verbo, seria subjetiva; se fosse predicativo, seria predicativa.";""
"3993";"multipla";"Filosofia";"Etica";"Etica da virtude";"Medio";"Vestibular";"2024";"Para Aristoteles, a virtude moral e definida como:";"O meio-termo entre dois extremos viciosos (excesso e falta)";"A obediencia a lei moral universal";"A busca pelo maximo prazer";"A resignacao diante do sofrimento";"A conformidade com as normas sociais";"a";"A teoria da virtude de Aristoteles (mesotes ou justo meio): cada virtude e o meio-termo entre dois vicios opostos. Exemplo: a coragem e o meio-termo entre a covardia (falta) e a temeridade (excesso). A justica e o meio entre o ganho indevido e a perda. As virtudes sao adquiridas pelo habito e pratica.";""
"3994";"multipla";"Sociologia";"Sociologia do Trabalho";"Precarizacao do trabalho";"Medio";"Vestibular";"2024";"O conceito de 'uberizacao do trabalho' refere-se a:";"Modelos de trabalho sob demanda, sem vinculo empregaticio formal, mediados por plataformas digitais";"A criacao de sindicatos de motoristas de aplicativo";"A regulamentacao do trabalho digital pelo Estado";"O transporte publico integrado nas cidades";"A reducao da jornada de trabalho nas industrias";"a";"A 'uberizacao' (inspirada no modelo Uber) descreve a tendencia de substituicao de empregos formais por trabalho sob demanda, intermediado por plataformas digitais. O trabalhador e tratado como 'parceiro autonomo', sem direitos trabalhistas tradicionais (ferias, 13o, FGTS), assumindo todos os riscos. E um fenomeno global ligado a gig economy.";""
"3995";"multipla";"Matematica";"Algebra Linear";"Matrizes e determinantes";"Medio";"Vestibular";"2024";"O determinante da matriz [[2,3],[1,4]] e:";"5";"11";"-5";"8";"14";"a";"Para matriz 2x2, det = ad - bc = (2)(4) - (3)(1) = 8 - 3 = 5.";""
"3996";"multipla";"Matematica";"Geometria Analitica";"Distancia entre pontos";"Facil";"Vestibular";"2024";"A distancia entre os pontos A(1,2) e B(4,6) e:";"5";"7";"3";"25";"4";"a";"d = raiz((4-1)2 + (6-2)2) = raiz(9 + 16) = raiz(25) = 5.";""
"3997";"multipla";"Fisica";"Mecanica";"Momento angular";"Dificil";"Vestibular";"2024";"Uma patinadora gira com os bracos estendidos. Ao recolher os bracos ao corpo, sua velocidade angular:";"Aumenta, pois o momento angular se conserva";"Diminui, pois a massa efetiva aumenta";"Permanece constante";"Diminui, pois a energia cinetica aumenta";"Vai a zero momentaneamente";"a";"Pela conservacao do momento angular (L = I*omega = constante, sem torques externos): ao recolher os bracos, o momento de inercia I diminui. Para L ser constante, omega (velocidade angular) deve aumentar. Por isso as patinadoras giram mais rapido ao recolher os bracos.";""
"3998";"multipla";"Fisica";"Fisica Moderna";"Efeito fotoeletrico";"Dificil";"Vestibular";"2024";"Einstein explicou o efeito fotoeletrico propondo que a luz e composta de:";"Quantos de energia chamados fotons";"Ondas continuas de energia";"Particulas massivas chamadas eletrons";"Campos magneticos oscilantes";"Neutrons de alta energia";"a";"Einstein (1905) explicou o efeito fotoeletrico — emissao de eletrons por metais ao receber luz — propondo que a luz e quantizada em pacotes de energia chamados fotons (E = h*f). Cada foton interage com um eletron individualmente; se a energia do foton supera a funcao de trabalho do metal, o eletron e ejetado. Esse trabalho valeu a Einstein o Premio Nobel de 1921.";""
"3999";"multipla";"Quimica";"Quimica Geral";"Cinetica quimica";"Medio";"Vestibular";"2024";"Qual fator NAO influencia a velocidade de uma reacao quimica?";"Cor dos reagentes";"Temperatura";"Concentracao dos reagentes";"Presenca de catalisador";"Area de contato (granulometria)";"a";"Os fatores que influenciam a velocidade das reacoes quimicas sao: temperatura (maior temperatura = maior velocidade), concentracao (maior concentracao = maior velocidade), catalisador (reduz energia de ativacao), area de contato (maior superficie = maior velocidade) e luz (para fotorreacoes). A cor dos reagentes nao influencia diretamente a cinetica.";""
"4000";"multipla";"Biologia";"Fisiologia Vegetal";"Transportes na planta";"Medio";"Vestibular";"2024";"O xilema e o floema sao tecidos vasculares das plantas responsaveis, respectivamente, pelo transporte de:";"Agua/sais minerais e seiva elaborada (fotoassimilados)";"Seiva elaborada e agua/sais minerais";"Gas carbonico e oxigenio";"Hormonios e vitaminas";"Proteinas e lipidios";"a";"O xilema conduz a seiva bruta (agua e sais minerais) das raizes para as folhas, unidirecionalmente, impulsionada pela transpiracao. O floema conduz a seiva elaborada (principalmente sacarose) produzida nas folhas por fotossintese para o resto da planta, podendo ser bidirecional.";""
"4001";"multipla";"Biologia";"Evolucao";"Teoria da evolucao";"Facil";"Vestibular";"2024";"O mecanismo central da teoria evolutiva de Charles Darwin e:";"Selecao natural";"Heranca dos caracteres adquiridos";"Mutacao direta pelo ambiente";"Criacao especial de cada especie";"Evolucao ortogenetica dirigida";"a";"Darwin, em 'A Origem das Especies' (1859), propôs que a evolucao ocorre por selecao natural: individuos com variacoes hereditarias favoraveis ao ambiente sobrevivem e reproduzem mais, transmitindo suas caracteristicas a descendentes. Ao longo de geracoes, isso leva a mudancas nas populacoes e ao surgimento de novas especies.";""
"4002";"multipla";"Historia";"Historia Geral";"Absolutismo";"Medio";"Vestibular";"2024";"O Absolutismo Monarquico europeu (seculos XVII-XVIII) caracterizava-se pela:";"Concentracao do poder politico nas maos do rei, que governava por direito divino";"Participacao popular nas decisoes de Estado";"Separacao dos poderes executivo, legislativo e judiciario";"Governo oligarquico das nacentes burguesias comerciais";"Federalizacao do poder entre nobres e clero";"a";"O Absolutismo Monarquico concentrava todos os poderes (executivo, legislativo, judiciario e religioso) no monarca, legitimado pela teoria do direito divino (Bossuet). Frases como 'L'Etat c'est moi' de Luis XIV ilustram essa concepcao. O Absolutismo foi progressivamente derrubado pelas revolucoes burguesas do seculo XVIII.";""
"4003";"multipla";"Historia";"Historia Geral";"Revolucao Russa";"Medio";"Vestibular";"2024";"A Revolucao Russa de outubro de 1917 foi liderada pelo Partido:";"Bolchevique, liderado por Lenin";"Menchevique, liderado por Trotsky";"Social-democrata, liderado por Kerensky";"Monarquista, liderado pelo Czar Nicolas II";"Anarquista, liderado por Bakunin";"a";"A Revolucao de Outubro de 1917 foi realizada pelos bolcheviques (maioria), liderados por Lenin e Trotsky. Os bolcheviques tomaram o poder do governo provisorio de Kerensky e implantaram um estado socialista — a Republica Soviética. Isso levou a Guerra Civil e a formacao da URSS em 1922.";""
"4004";"multipla";"Geografia";"Urbanizacao";"Megalopoles e metropoles";"Medio";"Vestibular";"2024";"A megalopole e definida como:";"Conjunto de metropoles continuas que formam uma enorme area urbana integrada";"Uma cidade com mais de 10 milhoes de habitantes";"Uma capital de pais subdesenvolvido com crescimento acelerado";"Cidade planejada construida para ser capital de um pais";"Conjunto de cidades de pequeno porte em zona rural";"a";"O conceito de megalopole foi criado por Jean Gottmann em 1961 ao estudar a conurbacao urbana entre Boston e Washington (BosWash), passando por Nova York, Filadelfia e Baltimore. Uma megalopole e a fusao de diversas metropoles continuas. Outros exemplos: Tokaido (Tóquio-Osaka) e San-San (San Francisco-San Diego).";""
"4005";"multipla";"Lingua Portuguesa";"Argumentacao";"Tipos de argumento";"Medio";"Vestibular";"2024";"O argumento por autoridade consiste em:";"Citar especialistas ou fontes reconhecidas para sustentar uma tese";"Apelar para as emocoes do leitor";"Apresentar dados estatisticos";"Usar exemplos concretos da realidade";"Comparar duas situacoes distintas";"a";"O argumento por autoridade (ou argumento de autoridade) consiste em citar especialistas, instituicoes de credibilidade, pesquisas cientificas ou autores reconhecidos para dar credibilidade a uma tese. E valido quando a fonte citada e de fato especialista no tema. Difere do apelo a emocoes (pathos) e dos dados estatisticos (argumento por evidencias).";""
"4006";"multipla";"Filosofia";"Gnoseologia";"Empirismo vs Racionalismo";"Medio";"Vestibular";"2024";"A principal diferenca entre racionalismo e empirismo esta no:";"Racionalismo defende que o conhecimento tem origem na razao; empirismo, na experiencia sensorial";"Empirismo defende ideias inatas; racionalismo, experiencia";"Ambos concordam que o conhecimento e puramente sensorial";"Racionalismo defende o ceticismo total; empirismo, o dogmatismo";"Empirismo defende a matematica como unica ciencia valida";"a";"O racionalismo (Descartes, Leibniz, Spinoza) defende que a razao e a principal fonte do conhecimento, podendo existir ideias inatas independentes da experiencia. O empirismo (Locke, Hume, Berkeley) afirma que todo conhecimento deriva da experiencia sensorial — a mente e uma 'tabula rasa' ao nascer. Kant buscou uma sintese entre as duas correntes.";""
"4007";"multipla";"Sociologia";"Desigualdade Social";"Indice de Gini";"Medio";"Vestibular";"2024";"O Indice de Gini mede:";"O grau de desigualdade na distribuicao de renda de um pais ou regiao";"O PIB per capita de um pais";"O nivel de desenvolvimento humano (IDH)";"A taxa de desemprego estrutural";"O crescimento economico anual";"a";"O Indice de Gini (ou coeficiente de Gini) varia de 0 a 1: 0 representa igualdade perfeita (todos tem a mesma renda) e 1 representa desigualdade maxima (uma pessoa tem toda a renda). O Brasil historicamente apresenta um dos maiores Ginis do mundo (~0,53), refletindo extrema concentracao de renda.";""
"4008";"multipla";"Matematica";"Probabilidade";"Probabilidade condicional";"Dificil";"Vestibular";"2024";"Uma urna tem 5 bolas vermelhas e 3 azuis. Retira-se uma bola sem reposicao. Qual a probabilidade de a segunda bola ser vermelha, dado que a primeira foi vermelha?";"4/7";"5/8";"5/7";"4/8";"1/2";"a";"Apos retirar uma vermelha, restam 7 bolas: 4 vermelhas e 3 azuis. P(2a vermelha | 1a vermelha) = 4/7.";""
